Sim Position,Error
"[(0.23172768710724934, -0.27451071923249676, 0.06715643278585583), (-0.472711866546627, 0.18424061312152404, 0.8484538794793802, 0.15074780959933795), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 1.0), (0.2317276895046234, -0.2745107114315033, 0.06715643405914307), (-0.47271186113357544, 0.18424062430858612, 0.8484538793563843, 0.15074782073497772)]","[-0.001727687107249326, 0.007510719232496743, -0.012156432785855827]"
"[(0.30108841327651037, -0.28884278897403487, 0.06495390665719755), (-0.45596981037642176, 0.18175696599600205, 0.863117821780009, 0.11867418869725226), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 1.0), (0.30108842253685, -0.2888427972793579, 0.06495390832424164), (-0.4559698700904846, 0.18175697326660156, 0.8631178736686707, 0.11867419630289078)]","[-0.0010884132765103804, 0.021842788974034855, -0.009953906657197552]"
"[(0.37187384895965486, -0.2844735774418034, 0.08402421539330444), (-0.4177240603174821, 0.1630791438115438, 0.8881731024245813, 0.10030125829252921), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 1.0), (0.3718738555908203, -0.28447356820106506, 0.08402421325445175), (-0.41772404313087463, 0.1630791276693344, 0.8881731033325195, 0.10030125081539154)]","[-0.011873848959654876, 0.01747357744180339, -0.029024215393304444]"
"[(0.4739775595959493, -0.2882733033222701, 0.09525811293446071), (-0.4363682488276399, 0.16522941888104636, 0.8796904179736902, 0.09179738055415795), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 1.0), (0.47397756576538086, -0.28827330470085144, 0.09525810927152634), (-0.43636825680732727, 0.1652294248342514, 0.879690408706665, 0.0917973741889)]","[-0.008977559595949258, 0.021273303322270065, -0.04025811293446071]"
"[(0.4737734472003817, -0.13467630158894797, 0.0709400968042355), (-0.4514377350120898, 0.10680998459938461, 0.8811606367861624, -0.09138671006026075), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 1.0), (0.47377344965934753, -0.13467630743980408, 0.07094009965658188), (-0.45143774151802063, 0.10680998116731644, 0.8811607360839844, -0.09138671308755875)]","[-0.008773447200381701, 0.027676301588947974, -0.015940096804235505]"
"[(0.45835756118466275, -0.0049547242488311855, 0.061267637416157386), (-0.37660034937258446, -0.017813108471326142, 0.9126241744370398, -0.15802527092888585), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 1.0), (0.458357572555542, -0.004954724106937647, 0.061267636716365814), (-0.37660035490989685, -0.01781311072409153, 0.912624180316925, -0.15802526473999023)]","[-0.018357561184662752, 0.027954724248831185, -0.006267637416157386]"
"[(0.25769666325242097, -0.004844486938020462, 0.06025201724638697), (-0.3406360029056479, -0.2208251817105685, 0.8171446363579927, -0.4092407554463775), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 1.0), (0.25769665837287903, -0.004844486713409424, 0.06025201827287674), (-0.3406360149383545, -0.2208251953125, 0.8171446323394775, -0.4092407524585724)]","[-0.027696663252420956, 0.004844486938020462, -0.005252017246386971]"
"[(0.08255398441530008, 0.0949619634912737, 0.2371141412935063), (-0.2157777632935733, 0.7672817254914688, -0.49515075687051624, 0.34575198996594647), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 1.0), (0.08255398273468018, 0.09496196359395981, 0.23711414635181427), (-0.21577778458595276, 0.7672817707061768, -0.49515077471733093, 0.3457520008087158)]","[-0.022553984415300085, -0.0199619634912737, -0.0021141412935063164]"
"[(0.09426451665702798, 0.01709246187048339, 0.41157927841762987), (-0.03749980246585112, 0.867634631707703, -0.16266650646370034, 0.4683412413522384), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 1.0), (0.09426451474428177, 0.01709246262907982, 0.41157928109169006), (-0.03749980032444, 0.867634654045105, -0.16266648471355438, 0.4683411419391632)]","[0.005735483342972025, 0.007907538129516611, -0.011579278417629846]"
"[(0.10750294420227127, 0.0022124183537702326, 0.38643889145653626), (-0.001191881154883828, 0.8809702193856365, -0.24220249488959086, 0.4064824761834067), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 1.0), (0.10750294476747513, 0.002212418243288994, 0.38643890619277954), (-0.001191879389807582, 0.880970299243927, -0.24220247566699982, 0.406482458114624)]","[-0.007502944202271267, -0.0022124183537702326, -0.026438891456536273]"
"[(0.09745813084756844, -0.03337543903158043, 0.4141583706790942), (0.09094429835483377, 0.8778603858335431, -0.18690619304860612, 0.4314584019126375), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 1.0), (0.0974581316113472, -0.033375438302755356, 0.4141583740711212), (0.09094429761171341, 0.8778603672981262, -0.18690618872642517, 0.43145841360092163)]","[0.0025418691524315695, 0.008375439031580431, -0.014158370679094201]"
